2026-01-18 08:52:00 | INFO     | src.api.routes.credit:get_credit_score:276 - Applicant integration_test_001: score=557, prob=0.08, risk=Medium, response_time=1.46ms
2026-01-18 08:52:00 | INFO     | src.api.routes.credit:get_credit_score:292 - PREDICTION: {"type": "PREDICTION", "applicant_id": "integration_test_001", "credit_score": 557, "default_probability": 0.08, "risk_level": "Medium", "response_time_ms": 1.46, "input": {"grade_numeric": 3.0, "int_rate": 13.5, "inq_last_6mths": 0.0, "revol_util": 25.0, "installment": 350.0, "installment_to_income": 0.07, "loan_to_income": 0.3, "dti": 15.0, "open_acc": 8.0, "loan_amnt": 15000.0, "annual_inc": 50000.0, "credit_history_months": 120.0}}
2026-01-18 08:52:00 | INFO     | src.api.routes.credit:get_credit_score:245 - Scoring request for applicant: integration_test_001
2026-01-18 08:52:00 | WARNING  | src.api.routes.credit:get_credit_score:252 - Applicant integration_test_001 rejected: ['Income $15,000 below minimum threshold ($20,000)']
2026-01-18 08:52:00 | INFO     | src.api.routes.credit:get_credit_score:245 - Scoring request for applicant: integration_test_001
2026-01-18 08:52:00 | WARNING  | src.api.routes.credit:get_credit_score:252 - Applicant integration_test_001 rejected: ['Loan amount $50,000 exceeds maximum ($40,000)']
2026-01-18 08:52:00 | INFO     | src.api.routes.credit:get_credit_score:245 - Scoring request for applicant: integration_test_001
2026-01-18 08:52:00 | WARNING  | src.api.routes.credit:get_credit_score:252 - Applicant integration_test_001 rejected: ['Interest rate 2.0% outside valid range (5-31%)']
2026-01-18 08:52:00 | INFO     | src.api.routes.credit:get_credit_score:245 - Scoring request for applicant: integration_test_001
2026-01-18 08:52:00 | INFO     | src.api.routes.credit:get_credit_score:276 - Applicant integration_test_001: score=450, prob=0.7, risk=High, response_time=2.03ms
2026-01-18 08:52:00 | INFO     | src.api.routes.credit:get_credit_score:292 - PREDICTION: {"type": "PREDICTION", "applicant_id": "integration_test_001", "credit_score": 450, "default_probability": 0.7, "risk_level": "High", "response_time_ms": 2.03, "input": {"grade_numeric": 3.0, "int_rate": 13.5, "inq_last_6mths": 0.0, "revol_util": 25.0, "installment": 350.0, "installment_to_income": 0.07, "loan_to_income": 0.3, "dti": 15.0, "open_acc": 8.0, "loan_amnt": 15000.0, "annual_inc": 50000.0, "credit_history_months": 6.0}}
2026-01-18 08:52:00 | INFO     | src.api.routes.credit:get_credit_score:245 - Scoring request for applicant: unique_test_id_123
2026-01-18 08:52:00 | INFO     | src.api.routes.credit:get_credit_score:276 - Applicant unique_test_id_123: score=557, prob=0.08, risk=Medium, response_time=1.51ms
2026-01-18 08:52:00 | INFO     | src.api.routes.credit:get_credit_score:292 - PREDICTION: {"type": "PREDICTION", "applicant_id": "unique_test_id_123", "credit_score": 557, "default_probability": 0.08, "risk_level": "Medium", "response_time_ms": 1.51, "input": {"grade_numeric": 3.0, "int_rate": 13.5, "inq_last_6mths": 0.0, "revol_util": 25.0, "installment": 350.0, "installment_to_income": 0.07, "loan_to_income": 0.3, "dti": 15.0, "open_acc": 8.0, "loan_amnt": 15000.0, "annual_inc": 50000.0, "credit_history_months": 120.0}}
2026-01-18 08:52:00 | INFO     | src.api.routes.credit:get_credit_score:245 - Scoring request for applicant: integration_test_001
2026-01-18 08:52:00 | INFO     | src.api.routes.credit:get_credit_score:276 - Applicant integration_test_001: score=557, prob=0.08, risk=Medium, response_time=1.62ms
2026-01-18 08:52:00 | INFO     | src.api.routes.credit:get_credit_score:292 - PREDICTION: {"type": "PREDICTION", "applicant_id": "integration_test_001", "credit_score": 557, "default_probability": 0.08, "risk_level": "Medium", "response_time_ms": 1.62, "input": {"grade_numeric": 3.0, "int_rate": 13.5, "inq_last_6mths": 0.0, "revol_util": 25.0, "installment": 350.0, "installment_to_income": 0.07, "loan_to_income": 0.3, "dti": 15.0, "open_acc": 8.0, "loan_amnt": 15000.0, "annual_inc": 50000.0, "credit_history_months": 120.0}}
2026-01-18 09:04:31 | INFO     | src.api.routes.credit:get_credit_score:245 - Scoring request for applicant: 12ea0ef0
2026-01-18 09:04:31 | INFO     | src.api.routes.credit:get_credit_score:276 - Applicant 12ea0ef0: score=525, prob=0.21, risk=Medium, response_time=12.20ms
2026-01-18 09:04:31 | INFO     | src.api.routes.credit:get_credit_score:292 - PREDICTION: {"type": "PREDICTION", "applicant_id": "12ea0ef0", "credit_score": 525, "default_probability": 0.21, "risk_level": "Medium", "response_time_ms": 12.2, "input": {"grade_numeric": 1.0, "int_rate": 8.6, "inq_last_6mths": 0.0, "revol_util": 25.0, "installment": 350.0, "installment_to_income": 0.08399999999999999, "loan_to_income": 0.3, "dti": 15.0, "open_acc": 8.0, "loan_amnt": 15000.0, "annual_inc": 50000.0, "credit_history_months": 120.0}}
2026-01-18 09:04:43 | INFO     | src.api.routes.credit:get_credit_score:245 - Scoring request for applicant: 9f1821da
2026-01-18 09:04:43 | INFO     | src.api.routes.credit:get_credit_score:276 - Applicant 9f1821da: score=525, prob=0.21, risk=Medium, response_time=5.34ms
2026-01-18 09:04:43 | INFO     | src.api.routes.credit:get_credit_score:292 - PREDICTION: {"type": "PREDICTION", "applicant_id": "9f1821da", "credit_score": 525, "default_probability": 0.21, "risk_level": "Medium", "response_time_ms": 5.34, "input": {"grade_numeric": 1.0, "int_rate": 12.7, "inq_last_6mths": 0.0, "revol_util": 25.0, "installment": 350.0, "installment_to_income": 0.08399999999999999, "loan_to_income": 0.3, "dti": 15.0, "open_acc": 8.0, "loan_amnt": 15000.0, "annual_inc": 50000.0, "credit_history_months": 120.0}}
